country,QS Login,Status,seller_id,Task ID,associate_queue,associate,metric_wk_no,associate_action,correct associate action,Associate Key-Driver,Sub-Key driver,Defect Area Associate,QA Comments on Associate Action,Metric name,investigator_task,investigator_queue,investigator,verification_action,correct investigator action,Investigator Key-Driver,Defect Area Investigator,QA Comments on investigator Action,General Notes,Action_correctly_captured,Audit_outcome,associate_resolve date,Type_of_audit,If_data_correctly_captured
country2,QS Login2,Status2,seller_id2,Task ID2,associate_queue2,associate2,48,associate_action2,correct associate action2,Associate Key-Driver2,Sub-Key driver2,Defect Area Associate2,QA Comments on Associate Action2,Metric name2,investigator_task2,investigator_queue2,investigator2,verification_action2,correct investigator action2,Investigator Key-Driver2,Defect Area Investigator2,QA Comments on investigator Action2,General Notes2,Action_correctly_captured2,Audit_outcome2,13/07/2021,Type_of_audit2,If_data_correctly_captured2
country3,QS Login3,Status3,seller_id3,Task ID3,associate_queue3,associate3,48,associate_action3,correct associate action3,Associate Key-Driver3,Sub-Key driver3,Defect Area Associate3,QA Comments on Associate Action3,Metric name3,investigator_task3,investigator_queue3,investigator3,verification_action3,correct investigator action3,Investigator Key-Driver3,Defect Area Investigator3,QA Comments on investigator Action3,General Notes3,Action_correctly_captured3,Audit_outcome3,13/07/2021,Type_of_audit3,If_data_correctly_captured3
country4,QS Login4,Status4,seller_id4,Task ID4,associate_queue4,associate4,48,associate_action4,correct associate action4,Associate Key-Driver4,Sub-Key driver4,Defect Area Associate4,QA Comments on Associate Action4,Metric name4,investigator_task4,investigator_queue4,investigator4,verification_action4,correct investigator action4,Investigator Key-Driver4,Defect Area Investigator4,QA Comments on investigator Action4,General Notes4,Action_correctly_captured4,Audit_outcome4,13/07/2021,Type_of_audit4,If_data_correctly_captured4
country5,QS Login5,Status5,seller_id5,Task ID5,associate_queue5,associate5,48,associate_action5,correct associate action5,Associate Key-Driver5,Sub-Key driver5,Defect Area Associate5,QA Comments on Associate Action5,Metric name5,investigator_task5,investigator_queue5,investigator5,verification_action5,correct investigator action5,Investigator Key-Driver5,Defect Area Investigator5,QA Comments on investigator Action5,General Notes5,Action_correctly_captured5,Audit_outcome5,13/07/2021,Type_of_audit5,If_data_correctly_captured5
country6,QS Login6,Status6,seller_id6,Task ID6,associate_queue6,associate6,48,associate_action6,correct associate action6,Associate Key-Driver6,Sub-Key driver6,Defect Area Associate6,QA Comments on Associate Action6,Metric name6,investigator_task6,investigator_queue6,investigator6,verification_action6,correct investigator action6,Investigator Key-Driver6,Defect Area Investigator6,QA Comments on investigator Action6,General Notes6,Action_correctly_captured6,Audit_outcome6,13/07/2021,Type_of_audit6,If_data_correctly_captured6
country7,QS Login7,Status7,seller_id7,Task ID7,associate_queue7,associate7,48,associate_action7,correct associate action7,Associate Key-Driver7,Sub-Key driver7,Defect Area Associate7,QA Comments on Associate Action7,Metric name7,investigator_task7,investigator_queue7,investigator7,verification_action7,correct investigator action7,Investigator Key-Driver7,Defect Area Investigator7,QA Comments on investigator Action7,General Notes7,Action_correctly_captured7,Audit_outcome7,13/07/2021,Type_of_audit7,If_data_correctly_captured7
country8,QS Login8,Status8,seller_id8,Task ID8,associate_queue8,associate8,48,associate_action8,correct associate action8,Associate Key-Driver8,Sub-Key driver8,Defect Area Associate8,QA Comments on Associate Action8,Metric name8,investigator_task8,investigator_queue8,investigator8,verification_action8,correct investigator action8,Investigator Key-Driver8,Defect Area Investigator8,QA Comments on investigator Action8,General Notes8,Action_correctly_captured8,Audit_outcome8,13/07/2021,Type_of_audit8,If_data_correctly_captured8
country9,QS Login9,Status9,seller_id9,Task ID9,associate_queue9,associate9,48,associate_action9,correct associate action9,Associate Key-Driver9,Sub-Key driver9,Defect Area Associate9,QA Comments on Associate Action9,Metric name9,investigator_task9,investigator_queue9,investigator9,verification_action9,correct investigator action9,Investigator Key-Driver9,Defect Area Investigator9,QA Comments on investigator Action9,General Notes9,Action_correctly_captured9,Audit_outcome9,13/07/2021,Type_of_audit9,If_data_correctly_captured9
country10,QS Login10,Status10,seller_id10,Task ID10,associate_queue10,associate10,48,associate_action10,correct associate action10,Associate Key-Driver10,Sub-Key driver10,Defect Area Associate10,QA Comments on Associate Action10,Metric name10,investigator_task10,investigator_queue10,investigator10,verification_action10,correct investigator action10,Investigator Key-Driver10,Defect Area Investigator10,QA Comments on investigator Action10,General Notes10,Action_correctly_captured10,Audit_outcome10,13/07/2021,Type_of_audit10,If_data_correctly_captured10
country11,QS Login11,Status11,seller_id11,Task ID11,associate_queue11,associate11,48,associate_action11,correct associate action11,Associate Key-Driver11,Sub-Key driver11,Defect Area Associate11,QA Comments on Associate Action11,Metric name11,investigator_task11,investigator_queue11,investigator11,verification_action11,correct investigator action11,Investigator Key-Driver11,Defect Area Investigator11,QA Comments on investigator Action11,General Notes11,Action_correctly_captured11,Audit_outcome11,13/07/2021,Type_of_audit11,If_data_correctly_captured11
